 8cpj			                drnic       
 blimlimb		bterlson
 bloopsaphone		aberant         mental
 camping		camping         judofyr
 fakeplus		                sspencer       
 greg			localhost
 hacketyhack		steveklabnik
 hobix			mental          crnixon
 hoodwinkd		                robbyrussell
 hpricot		ecarnevale      olabini
 markaby		joho            spox            smtlaissezfaire
 metaid			dannytatom      evaryont        chneukirchen
 mixico			rkh
 mousehole		evaryont        joshprice
 parkplace		technoweenie    mattjamieson    jeremymcanally
 poignant-br		                carlosbrando
 poignant-guide		mislav
 poignantguide		                luigi
 potion			fogus           lutzky
 redcloth		jgarber
 sandbox		                jschoolcraft
 sheila			wmorgan
 shoes			mental          greatseth
 syck			indeyets
 unholy			devyn           jmkogut
 why-archive		steveklabnik    binary42
 yown                                   iamjwc
 bumpspark                              yup
 myfs                                   yup
 railsfs                                yup
 superredcloth                          yup
 wordy                                  yup

repo=8cpj           ; user=drnic           ; 
repo=blimlimb       ; user=bterlson        ; 
repo=bloopsaphone   ; user=mental          ; 
repo=camping        ; user=camping         ; 
repo=camping        ; user=judofyr         ; 
repo=fakeplus       ; user=sspencer        ; 
repo=greg           ; user=localhost       ; 
repo=hacketyhack    ; user=steveklabnik    ; 
repo=hobix          ; user=crnixon         ; 
repo=hoodwinkd      ; user=robbyrussell    ; 
repo=hpricot        ; user=ecarnevale      ; 
repo=hpricot        ; user=olabini         ; 
repo=markaby        ; user=joho            ; 
repo=markaby        ; user=spox            ; 
repo=metaid         ; user=chneukirchen    ; 
repo=metaid         ; user=dannytatom      ; 
repo=mixico         ; user=rkh             ; 
repo=mousehole      ; user=evaryont        ; 
repo=mousehole      ; user=joshprice       ; 
repo=parkplace      ; user=jeremymcanally  ; 
repo=parkplace      ; user=mattjamieson    ; 
repo=parkplace      ; user=technoweenie    ; 
repo=poignant-br    ; user=carlosbrando    ; 
repo=poignant-guide ; user=mislav          ; 
repo=poignantguide  ; user=luigi           ; 
repo=potion         ; user=fogus           ; 
repo=potion         ; user=lutzky          ; 
repo=redcloth       ; user=jgarber         ; 
repo=sandbox        ; user=jschoolcraft    ; 
repo=sheila         ; user=wmorgan         ; 
repo=shoes          ; user=greatseth       ; 
repo=syck           ; user=indeyets        ; 
repo=unholy         ; user=devyn           ; 
